epoch,accuracy,loss,val_accuracy,val_loss
0,0.7149999737739563,0.7738828063011169,0.8500000238418579,0.34390825033187866
1,0.8320000171661377,0.37648501992225647,0.7749999761581421,0.4350305199623108
2,0.8669999837875366,0.32134556770324707,0.9100000262260437,0.24424238502979279
3,0.8999999761581421,0.2385650873184204,0.8862500190734863,0.28075096011161804
4,0.9169999957084656,0.19722160696983337,0.8374999761581421,0.41277560591697693
5,0.9210000038146973,0.18325790762901306,0.8924999833106995,0.3521256148815155
6,0.9449999928474426,0.14736638963222504,0.8299999833106995,0.5198184251785278
7,0.9509999752044678,0.12941516935825348,0.8550000190734863,0.4251100420951843
8,0.949999988079071,0.105844646692276,0.8924999833106995,0.30520209670066833
9,0.9549999833106995,0.09782002121210098,0.8837500214576721,0.36242571473121643
